carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,1,0.349015,0.135943,4.02056,0.00129229,0.724476,-136.551,5,0,135.576,0.0706296,1.00041,0.00193133,0.21536,-169.971,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,1,NA
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,1,0.0219516,1.16181e-08,17.4912,0.00106788,0.199627,-149.542,5,0,0.0418468,3.19978e-08,3.37991e+06,0.00106647,0.162092,-166.516,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,1,0.100767,4.6275e-05,4.0007,0.00120602,0.306186,-186.399,5,0,0.0319551,4.69541e-07,152120,0.0010672,0.165516,-156.991,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,2,0.0317358,1.37586e-08,6.07364,0.00086786,8822.91,-118.754,5,0,0.0862236,1.35948e-08,20.5003,0.000667506,0.271825,-121.124,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,2,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0476445,1.31554e-06,845206,0.000734111,0.11302,-119.613,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,2,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0592184,4.76321e-07,59657,0.000664248,0.133657,-121.59,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,2,0.0317085,1.46686e-06,61.4592,0.00113975,0.223286,-165.885,5,0,135.576,0.0706296,1.00041,0.00193133,0.21536,-169.971,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,3,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0476445,1.31554e-06,845206,0.000734111,0.11302,-119.613,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,3,NA
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,3,0.0219516,1.16181e-08,17.4912,0.00106788,0.199627,-149.542,5,0,0.0660439,4.71456e-07,4.57673,0.000868643,0.204351,-133.349,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,3,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0581704,7.69965e-09,1.34434e+06,0.000866631,0.208196,-142.551,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,4,NA
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,4,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0450195,5.43285e-08,inf,0.000800089,18.0674,-118.075,5,0
